ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300150.SZ,20250716,5.20,6.16,5.17,5.52,5.17,0.35,6.77,787811.02,448828.70
300150.SZ,20250715,5.23,5.23,5.09,5.17,5.21,-0.04,-0.77,111474.52,57355.18
300150.SZ,20250714,5.19,5.22,5.14,5.21,5.19,0.02,0.39,92737.04,48095.57
300150.SZ,20250711,5.15,5.21,5.14,5.19,5.16,0.03,0.58,107993.00,55889.69
300150.SZ,20250710,5.18,5.24,5.14,5.16,5.19,-0.03,-0.58,112702.00,58382.82
300150.SZ,20250709,5.16,5.25,5.13,5.19,5.16,0.03,0.58,133913.02,69350.31
300150.SZ,20250708,5.10,5.16,5.07,5.16,5.10,0.06,1.18,134123.13,68671.41
300150.SZ,20250707,5.07,5.12,5.02,5.10,5.04,0.06,1.19,106598.00,54113.92
300150.SZ,20250704,5.06,5.13,4.99,5.04,5.07,-0.03,-0.59,117611.00,59407.64
300150.SZ,20250703,4.98,5.09,4.98,5.07,4.97,0.10,2.01,146424.62,74085.94
300150.SZ,20250702,5.00,5.03,4.93,4.97,5.03,-0.06,-1.19,101489.00,50433.95
300150.SZ,20250701,5.01,5.09,4.96,5.03,5.02,0.01,0.20,148377.20,74509.42
300150.SZ,20250630,4.96,5.09,4.93,5.02,4.93,0.09,1.83,161534.50,80900.58
300150.SZ,20250627,4.93,4.99,4.91,4.93,4.92,0.01,0.20,101753.00,50304.34
300150.SZ,20250626,4.91,4.98,4.87,4.92,4.90,0.02,0.41,141529.50,69735.21
300150.SZ,20250625,4.88,4.91,4.82,4.90,4.85,0.05,1.03,117163.00,57089.01
300150.SZ,20250624,4.75,4.90,4.72,4.85,4.74,0.11,2.32,139646.00,67731.14
300150.SZ,20250623,4.57,4.74,4.52,4.74,4.61,0.13,2.82,112906.00,52781.12
300150.SZ,20250620,4.63,4.70,4.57,4.61,4.65,-0.04,-0.86,112843.00,52222.44
300150.SZ,20250619,4.79,4.80,4.63,4.65,4.79,-0.14,-2.92,135302.10,63641.27
300150.SZ,20250618,4.80,4.82,4.76,4.79,4.79,0.00,0.00,96210.94,46050.88
300150.SZ,20250617,4.84,4.86,4.76,4.79,4.82,-0.03,-0.62,91442.00,43901.70
300150.SZ,20250616,4.75,4.86,4.71,4.82,4.75,0.07,1.47,132198.03,63762.58
300150.SZ,20250613,4.89,4.89,4.73,4.75,4.89,-0.14,-2.86,127976.85,61234.22
300150.SZ,20250612,4.86,4.92,4.82,4.89,4.87,0.02,0.41,119441.00,58333.34
300150.SZ,20250611,4.86,4.92,4.84,4.87,4.85,0.02,0.41,98555.00,48123.73
300150.SZ,20250610,4.91,4.91,4.78,4.85,4.92,-0.07,-1.42,136359.04,66188.99
300150.SZ,20250609,4.85,4.92,4.82,4.92,4.84,0.08,1.65,143074.62,69949.86
300150.SZ,20250606,4.84,4.85,4.76,4.84,4.83,0.01,0.21,136975.50,65913.33
300150.SZ,20250605,4.78,4.85,4.74,4.83,4.77,0.06,1.26,150245.50,72158.72
300150.SZ,20250604,4.77,4.81,4.73,4.77,4.74,0.03,0.63,128458.00,61255.88
300150.SZ,20250603,4.71,4.81,4.69,4.74,4.74,0.00,0.00,154865.00,73783.84
300150.SZ,20250530,4.87,4.89,4.71,4.74,4.87,-0.13,-2.67,190028.00,90647.14
300150.SZ,20250529,4.71,4.89,4.71,4.87,4.74,0.13,2.74,248436.06,120377.82
300150.SZ,20250528,4.81,4.83,4.71,4.74,4.79,-0.05,-1.04,173708.03,82564.00
300150.SZ,20250527,4.81,4.86,4.71,4.79,4.76,0.03,0.63,297056.04,142484.39
300150.SZ,20250526,4.66,4.82,4.66,4.76,4.71,0.05,1.06,269059.02,127492.85
300150.SZ,20250523,5.02,5.04,4.68,4.71,5.02,-0.31,-6.18,531525.48,255765.02
300150.SZ,20250522,4.69,5.39,4.61,5.02,4.71,0.31,6.58,645942.56,324694.84
300150.SZ,20250521,4.75,4.78,4.70,4.71,4.75,-0.04,-0.84,117623.00,55699.89
300150.SZ,20250520,4.72,4.76,4.65,4.75,4.72,0.03,0.64,120649.58,57022.81
300150.SZ,20250519,4.67,4.75,4.61,4.72,4.66,0.06,1.29,95376.02,44762.28
300150.SZ,20250516,4.67,4.72,4.64,4.66,4.68,-0.02,-0.43,84633.00,39677.37
300150.SZ,20250515,4.73,4.74,4.66,4.68,4.74,-0.06,-1.27,129602.00,60846.97
300150.SZ,20250514,4.74,4.82,4.70,4.74,4.76,-0.02,-0.42,227984.00,108238.39
300150.SZ,20250513,4.90,4.93,4.74,4.76,4.98,-0.22,-4.42,368841.00,177048.14
300150.SZ,20250512,4.72,5.13,4.67,4.98,4.69,0.29,6.18,435076.99,212393.45
300150.SZ,20250509,4.81,4.81,4.66,4.69,4.82,-0.13,-2.70,98861.48,46640.45
300150.SZ,20250508,4.69,4.83,4.66,4.82,4.67,0.15,3.21,162705.04,77700.49
300150.SZ,20250507,4.75,4.76,4.60,4.67,4.67,0.00,0.00,110357.00,51591.74
300150.SZ,20250506,4.51,4.67,4.51,4.67,4.48,0.19,4.24,134138.04,62063.55
300150.SZ,20250430,4.44,4.51,4.44,4.48,4.43,0.05,1.13,87397.32,39233.00
300150.SZ,20250429,4.37,4.50,4.34,4.43,4.41,0.02,0.45,83747.32,37240.97
300150.SZ,20250428,4.40,4.44,4.30,4.41,4.47,-0.06,-1.34,146568.03,64182.26
300150.SZ,20250425,4.46,4.53,4.43,4.47,4.45,0.02,0.45,99754.03,44677.69
300150.SZ,20250424,4.53,4.53,4.39,4.45,4.54,-0.09,-1.98,130226.00,57944.64
300150.SZ,20250423,4.54,4.59,4.47,4.54,4.55,-0.01,-0.22,178459.00,80684.63
300150.SZ,20250422,4.45,4.57,4.44,4.55,4.46,0.09,2.02,166110.11,74671.47
